Category,Sub-Category,Sport
Artistic and Rythmic Sports,Other,Art Competitions
Artistic and Rythmic Sports,Gymnastics,Trampolining
Artistic and Rythmic Sports,Fencing,Fencing
Artistic and Rythmic Sports,Equestrianism,Equestrianism
Endurance Sports,Athletics,Athletics
Endurance Sports,Canoeing,Canoeing
Endurance Sports,Cycling,Cycling
Endurance Sports,Swimming,Diving
Endurance Sports,Rowing,Rowing
Endurance Sports,Swimming,Swimming
Endurance Sports,Swimming,Synchronized Swimming
Others,Aeronautics,Aeronautics
Others,Modern Pentathlon,Modern Pentathlon
Others,Motorboating,Motorboating
Others,Sailing,Sailing
Others,Triathlon,Triathlon
Precision Sports,Archery,Archery
Precision Sports,Racket Sports,Badminton
Precision Sports,Golf,Golf
Precision Sports,Racket Sports,Jeu De Paume
Precision Sports,Racket Sports,Racquets
Precision Sports,Golf,Roque
Precision Sports,Shooting,Shooting
Precision Sports,Racket Sports,Table Tennis
Precision Sports,Racket Sports,Tennis
Strenght and Power Sports,Fighting,Boxing
Artistic and Rythmic Sports,Gymnastics,Gymnastics
Strenght and Power Sports,Fighting,Judo
Artistic and Rythmic Sports,Gymnastics,Rhythmic Gymnastics
Strenght and Power Sports,Fighting,Taekwondo
Strenght and Power Sports,Tug-Of-War,Tug-Of-War
Strenght and Power Sports,Weightlifting,Weightlifting
Strenght and Power Sports,Fighting,Wrestling
Team Sports,Baseball,Baseball
Team Sports,Basketball,Basketball
Team Sports,Basque Pelota,Basque Pelota
Team Sports,Beach Volleyball,Beach Volleyball
Team Sports,Cricket,Cricket
Team Sports,Croquet,Croquet
Team Sports,Football,Football
Team Sports,Handball,Handball
Team Sports,Hockey,Hockey
Team Sports,Lacrosse,Lacrosse
Team Sports,Polo,Polo
Team Sports,Rugby,Rugby
Team Sports,Rugby Sevens,Rugby Sevens
Team Sports,Softball,Softball
Team Sports,Volleyball,Volleyball
Team Sports,Water Polo,Water Polo
Winter,Skiing Sports,Alpine Skiing
Winter,Skiing Sports,Alpinism
Winter,Target Sports,Biathlon
Winter,Ice Track Sports,Bobsleigh
Winter,Skiing Sports,Cross Country Skiing
Winter,Team Sports,Curling
Winter,Ice Skating Sports,Figure Skating
Winter,Skiing Sports,Freestyle Skiing
Winter,Team Sports,Ice Hockey
Winter,Ice Track Sports,Luge
Winter,Skiing Sports,Military Ski Patrol
Winter,Skiing Sports,Nordic Combined
Winter,Ice Skating Sports,Short Track Speed Skating
Winter,Ice Track Sports,Skeleton
Winter,Skiing Sports,Ski Jumping
Winter,Snowboarding and Freestyle,Snowboarding
Winter,Ice Skating Sports,Speed Skating
